ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.156944,0.921363,IHDP 0
3.959626,0.172539,1.027436,IHDP 1
3.997861,0.111924,0.94469,IHDP 2
4.44431,0.606308,3.424063,IHDP 3
4.262547,0.283527,6.672935,IHDP 4
3.937132,0.093558,0.608568,IHDP 5
3.9585,0.211801,0.163933,IHDP 6
3.711442,0.030091,1.53631,IHDP 7
12.825093,7.167528,562.719759,IHDP 8
2.778521,1.186239,69.80286,IHDP 9
3.893408,0.095864,3.923298,IHDP 10
4.893555,1.2388,14.324315,IHDP 11
14.549109,7.38243,896.031019,IHDP 12
3.819642,0.006382,0.306878,IHDP 13
3.920643,0.181843,3.99754,IHDP 14
4.53679,0.364185,1.850932,IHDP 15
3.857548,0.072383,22.484996,IHDP 16
3.497777,0.149011,6.197484,IHDP 17
3.650291,0.004144,11.528286,IHDP 18
4.158551,0.384218,1.506365,IHDP 19
2.62605,0.062778,61.487075,IHDP 20
4.047627,0.132977,1.674376,IHDP 21
3.800921,0.115843,11.928429,IHDP 22
4.057528,0.749269,33.13196,IHDP 23
4.639481,0.346715,7.413313,IHDP 24
7.13922,4.657669,155.563638,IHDP 25
3.780237,0.251601,2.155269,IHDP 26
9.635893,6.804374,1533.485808,IHDP 27
4.061815,0.266267,4.311829,IHDP 28
4.410239,0.527871,10.115057,IHDP 29
4.722614,0.69402,6.376349,IHDP 30
3.924763,0.043658,0.430219,IHDP 31
4.189694,0.117311,10.495387,IHDP 32
-0.840019,5.240446,1821.238262,IHDP 33
4.606642,0.900475,22.2658,IHDP 34
4.495566,0.24151,17.099557,IHDP 35
0.904956,0.910119,47.440744,IHDP 36
4.41231,0.550852,3.173556,IHDP 37
7.337631,2.107321,32.719649,IHDP 38
3.510525,0.221649,26.137414,IHDP 39
4.349574,0.401864,0.987376,IHDP 40
3.865287,0.017447,0.466607,IHDP 41
4.413547,0.217569,2.530304,IHDP 42
3.971858,0.068977,2.886264,IHDP 43
2.860818,0.540309,10.952948,IHDP 44
4.454119,0.175336,12.483273,IHDP 45
5.273077,1.081749,20.11505,IHDP 46
3.817628,0.062744,1.548018,IHDP 47
4.375226,0.337907,11.63736,IHDP 48
3.960109,0.087045,2.797286,IHDP 49
4.468,0.448101,2.515351,IHDP 50
4.443984,0.557158,7.877368,IHDP 51
5.184143,1.077402,158.61829,IHDP 52
2.93429,1.137359,63.185557,IHDP 53
3.712252,0.219537,1.226668,IHDP 54
4.0445,0.211535,0.055189,IHDP 55
4.082733,0.086081,0.487521,IHDP 56
4.513344,0.584843,7.893459,IHDP 57
4.181243,0.295063,0.889448,IHDP 58
1.981204,0.716958,131.378583,IHDP 59
4.071497,0.120767,0.697139,IHDP 60
4.201033,0.351485,2.579251,IHDP 61
4.368132,0.276169,6.592143,IHDP 62
2.854048,0.583683,3.640098,IHDP 63
3.049914,0.830994,24.136973,IHDP 64
4.067646,0.083348,1.487089,IHDP 65
4.024227,0.024078,0.539466,IHDP 66
12.93584,8.875894,494.764839,IHDP 67
3.906576,0.14307,0.506725,IHDP 68
3.996942,0.093856,0.027828,IHDP 69
5.285123,1.226485,61.499973,IHDP 70
3.993969,0.211849,0.045899,IHDP 71
3.879233,0.086681,1.075993,IHDP 72
4.134216,0.191373,0.139122,IHDP 73
4.015646,0.146584,0.029127,IHDP 74
4.527299,0.252961,35.86478,IHDP 75
4.29294,0.531775,1.079698,IHDP 76
3.995405,0.016997,0.232897,IHDP 77
4.242205,0.368205,0.730137,IHDP 78
3.996348,0.048369,0.156658,IHDP 79
12.053617,7.828243,468.513464,IHDP 80
1.770824,1.535908,118.187449,IHDP 81
3.702904,0.322778,8.27163,IHDP 82
2.611181,0.65139,302.774843,IHDP 83
-2.500215,5.611171,519.733622,IHDP 84
3.711785,0.40431,324.795532,IHDP 85
4.898359,0.877866,5.899662,IHDP 86
3.987934,0.179492,0.038154,IHDP 87
3.532426,0.217731,10.439088,IHDP 88
3.678999,0.051422,1.485197,IHDP 89
3.927142,0.373826,0.346455,IHDP 90
3.147813,0.432667,12.347116,IHDP 91
6.444968,1.38749,245.52035,IHDP 92
4.269753,0.342113,1.552548,IHDP 93
4.248175,0.069951,1.677318,IHDP 94
4.26584,0.292687,5.057948,IHDP 95
4.074618,0.055154,6.627357,IHDP 96
7.039075,0.43406,91.580717,IHDP 97
4.446197,0.654724,5.349994,IHDP 98
4.106267,0.482921,2.823821,IHDP 99
5.362338,1.186583,7.847507,IHDP 100
4.175842,0.377763,13.64163,IHDP 101
4.002052,0.020373,1.104363,IHDP 102
3.930538,0.258272,3.730016,IHDP 103
4.423827,0.669504,11.198376,IHDP 104
3.662224,0.097451,3.757085,IHDP 105
3.668306,0.147014,1.182717,IHDP 106
12.157211,7.471294,918.635029,IHDP 107
5.07442,1.079672,23.763849,IHDP 108
5.592436,0.584752,29.103294,IHDP 109
5.168506,1.755399,15.788223,IHDP 110
5.691995,1.590346,31.976994,IHDP 111
5.734751,1.011607,29.114813,IHDP 112
4.176036,0.309027,1.960519,IHDP 113
3.350344,0.610909,55.839787,IHDP 114
4.299654,0.141472,4.900224,IHDP 115
3.106468,0.409579,13.176501,IHDP 116
3.675286,0.141952,3.879593,IHDP 117
4.998965,1.195794,75.329183,IHDP 118
4.837312,0.611733,91.786054,IHDP 119
4.241976,0.011961,2.884457,IHDP 120
3.88325,0.081479,1.336993,IHDP 121
5.805628,1.767834,13.905275,IHDP 122
5.886675,1.522942,47.761805,IHDP 123
4.201421,0.361234,2.094757,IHDP 124
7.702169,3.790686,176.618932,IHDP 125
5.899665,2.281249,21.923701,IHDP 126
4.472835,0.389346,2.68862,IHDP 127
3.982415,0.504471,75.642972,IHDP 128
3.048122,1.97259,511.403681,IHDP 129
4.012044,0.034721,0.007448,IHDP 130
3.890646,0.22964,22.970461,IHDP 131
10.197094,2.914649,413.220457,IHDP 132
3.173098,0.04443,15.736692,IHDP 133
4.116704,0.303887,2.463549,IHDP 134
5.061204,0.973285,16.993898,IHDP 135
2.509995,1.906626,143.114711,IHDP 136
3.963201,0.00449,0.2696,IHDP 137
3.979755,0.03039,0.308212,IHDP 138
4.369091,0.518919,2.664459,IHDP 139
3.80736,0.100509,12.968921,IHDP 140
3.941132,0.508924,13.497562,IHDP 141
8.092303,4.569804,606.550635,IHDP 142
4.036041,0.250065,2.409266,IHDP 143
3.871694,0.301473,3.956448,IHDP 144
3.696711,0.117425,5.038576,IHDP 145
8.825768,4.504474,135.938387,IHDP 146
4.224584,0.281888,9.94812,IHDP 147
7.518511,2.85863,675.575986,IHDP 148
4.127271,0.317163,0.366472,IHDP 149
5.406163,0.690378,6.202,IHDP 150
4.80784,0.965575,27.640634,IHDP 151
5.199054,1.064277,12.281334,IHDP 152
3.683946,0.021815,6.004673,IHDP 153
4.346638,0.415458,19.343438,IHDP 154
4.157805,0.135378,1.680642,IHDP 155
7.098465,2.357619,66.369073,IHDP 156
4.32887,0.063985,50.392646,IHDP 157
3.992396,0.307113,0.102101,IHDP 158
4.554703,0.14023,5.854181,IHDP 159
3.742069,0.310933,3.497179,IHDP 160
3.973986,0.065185,0.134132,IHDP 161
2.773671,0.490387,18.363545,IHDP 162
3.988841,0.011541,0.103451,IHDP 163
5.038401,0.549438,9.902523,IHDP 164
4.233397,0.58671,40.002484,IHDP 165
4.049391,0.138329,2.169702,IHDP 166
4.547101,0.585628,6.94599,IHDP 167
4.454127,0.46368,1.920762,IHDP 168
4.803743,0.803062,11.258701,IHDP 169
3.730067,0.516672,20.541538,IHDP 170
4.036561,0.161245,4.744378,IHDP 171
4.394657,0.114398,1.242173,IHDP 172
3.850795,0.045878,8.348875,IHDP 173
4.033526,0.249453,0.484991,IHDP 174
4.591759,0.693916,4.545436,IHDP 175
3.790252,0.647521,23.94711,IHDP 176
3.955224,0.421186,4.358823,IHDP 177
4.560515,0.346676,6.239404,IHDP 178
6.662647,2.186,191.989968,IHDP 179
4.148577,0.435817,103.766935,IHDP 180
3.914757,0.049208,0.756309,IHDP 181
4.473739,0.448022,5.549617,IHDP 182
5.723733,2.052042,59.351888,IHDP 183
3.971785,0.319784,0.309867,IHDP 184
4.00889,0.317525,0.129815,IHDP 185
4.274753,0.094872,42.522422,IHDP 186
3.755724,0.265129,1.731461,IHDP 187
5.106002,1.667593,17.433051,IHDP 188
3.851978,0.150405,3.651586,IHDP 189
3.755146,0.077448,0.932872,IHDP 190
4.15721,0.179413,3.834556,IHDP 191
4.008079,0.129888,3.641129,IHDP 192
3.961347,0.25416,0.146987,IHDP 193
4.239872,0.447685,2.384838,IHDP 194
3.843686,0.225796,10.823009,IHDP 195
4.251502,0.403121,1.940038,IHDP 196
4.167695,0.575177,3.144048,IHDP 197
5.985832,2.294788,39.781086,IHDP 198
4.328186,0.692652,5.061401,IHDP 199
4.143633,0.048975,4.620925,IHDP 200
4.205082,0.290045,0.517117,IHDP 201
4.149438,0.242963,0.613496,IHDP 202
3.906648,0.207533,7.414608,IHDP 203
4.687694,0.85613,11.420604,IHDP 204
3.763087,0.164264,1.260901,IHDP 205
4.223829,0.329061,1.306884,IHDP 206
4.214217,0.061435,4.811086,IHDP 207
2.105817,0.37621,167.034468,IHDP 208
10.668377,8.138103,458.479837,IHDP 209
6.416279,2.197316,60.892148,IHDP 210
3.957768,0.164288,0.365262,IHDP 211
3.98752,0.168837,0.034965,IHDP 212
4.183823,0.290276,1.279915,IHDP 213
3.650387,0.305734,2.383536,IHDP 214
4.160511,0.343184,1.582003,IHDP 215
3.994832,0.211043,6.960299,IHDP 216
3.501728,0.296616,30.167435,IHDP 217
11.583535,4.99217,2414.262751,IHDP 218
6.363932,2.464274,192.79328,IHDP 219
4.109952,0.123615,0.116249,IHDP 220
4.12308,0.167267,3.279891,IHDP 221
3.915724,0.094355,0.110777,IHDP 222
4.060095,0.089509,0.159132,IHDP 223
3.815259,0.293109,11.616428,IHDP 224
5.766492,1.332292,15.252384,IHDP 225
3.880104,0.007116,0.175218,IHDP 226
3.25426,0.600849,5.58108,IHDP 227
3.155799,0.774855,30.288066,IHDP 228
4.169478,0.075737,11.249786,IHDP 229
8.064425,2.993824,64.984673,IHDP 230
3.670616,0.215701,11.191658,IHDP 231
4.87568,0.868763,22.890415,IHDP 232
4.051584,0.249908,0.117327,IHDP 233
5.614417,1.056905,50.760447,IHDP 234
4.009805,0.043256,0.560028,IHDP 235
3.805175,0.392518,18.179875,IHDP 236
3.966719,0.017443,0.756807,IHDP 237
3.729702,0.276843,2.333621,IHDP 238
4.93983,0.424533,25.79407,IHDP 239
4.141064,0.275449,0.255789,IHDP 240
4.000115,0.089228,0.011139,IHDP 241
4.339979,0.296377,15.589122,IHDP 242
1.595204,1.812804,38.083084,IHDP 243
9.005046,4.434419,563.624587,IHDP 244
2.949293,0.667456,16.616527,IHDP 245
4.112898,0.237431,0.72267,IHDP 246
4.685198,0.602342,6.220639,IHDP 247
6.964003,3.223162,39.883568,IHDP 248
3.958428,0.186926,3.887844,IHDP 249
3.858818,0.051122,1.674083,IHDP 250
3.953482,0.038106,0.330217,IHDP 251
3.772544,0.05465,2.979947,IHDP 252
2.58521,0.640351,321.645159,IHDP 253
6.03471,2.593672,2286.625383,IHDP 254
3.701896,0.311967,5.079741,IHDP 255
8.015934,3.350507,142.422788,IHDP 256
4.118776,0.435038,2.73643,IHDP 257
4.358756,0.516286,1.200264,IHDP 258
3.971818,0.23601,0.521283,IHDP 259
2.646865,1.059043,16.56959,IHDP 260
4.123776,1.695452,24.998687,IHDP 261
3.628331,0.382648,1.857874,IHDP 262
3.207476,0.324184,8.723523,IHDP 263
3.406809,0.489717,8.32909,IHDP 264
3.746296,0.160438,1.62345,IHDP 265
2.771384,0.80046,32.723485,IHDP 266
4.143977,0.38907,2.051399,IHDP 267
5.286954,1.232224,12.955113,IHDP 268
4.032261,0.209437,0.933799,IHDP 269
3.267657,0.545508,7.700125,IHDP 270
4.154091,0.202858,1.11527,IHDP 271
4.263595,0.443568,4.854612,IHDP 272
3.743914,0.304399,0.814277,IHDP 273
4.385673,0.511414,2.164218,IHDP 274
5.655607,1.006779,252.595168,IHDP 275
5.486463,1.513169,22.576942,IHDP 276
3.999168,0.07891,0.00743,IHDP 277
4.213574,0.127192,1.135187,IHDP 278
5.12422,1.165267,57.294842,IHDP 279
2.055246,1.880362,120.104474,IHDP 280
-0.076376,3.531572,240.659276,IHDP 281
7.892907,2.601282,34.686594,IHDP 282
3.896592,0.02859,5.353267,IHDP 283
4.068114,0.048359,0.119331,IHDP 284
4.088055,0.014794,28.030034,IHDP 285
4.188938,0.450988,7.094401,IHDP 286
4.784931,1.26524,60.511056,IHDP 287
3.654808,0.116291,1.790127,IHDP 288
4.163401,0.120795,3.552103,IHDP 289
4.03103,0.27587,9.100101,IHDP 290
3.465725,0.109259,41.121374,IHDP 291
5.27655,1.618939,43.368925,IHDP 292
4.124088,0.147712,0.160044,IHDP 293
3.928984,0.108276,1.72528,IHDP 294
3.024828,0.808017,71.177514,IHDP 295
3.880179,0.232685,3.156656,IHDP 296
4.108379,0.526847,6.183687,IHDP 297
3.953225,0.224157,0.091046,IHDP 298
4.138098,0.088045,0.639154,IHDP 299
4.068999,0.209638,1.052502,IHDP 300
4.526017,0.742956,19.229804,IHDP 301
6.179739,2.148852,30.071428,IHDP 302
4.105771,0.223631,0.500414,IHDP 303
4.046146,0.229133,1.886953,IHDP 304
