ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.109768,1.194868,IHDP 0
3.959626,0.055749,1.328167,IHDP 1
3.997861,0.006091,1.576736,IHDP 2
4.44431,0.152537,3.94301,IHDP 3
4.262547,0.074853,10.157563,IHDP 4
3.937132,0.062129,0.988007,IHDP 5
3.9585,0.146378,0.186238,IHDP 6
3.711442,0.229828,3.287587,IHDP 7
12.825093,0.062559,789.368827,IHDP 8
2.778521,1.252106,95.926028,IHDP 9
3.893408,0.002416,5.531653,IHDP 10
4.893555,0.405858,17.456303,IHDP 11
14.549109,2.663192,1224.06891,IHDP 12
3.819642,0.070538,0.448859,IHDP 13
3.920643,0.124285,4.724491,IHDP 14
4.53679,0.279022,2.032396,IHDP 15
3.857548,0.037343,27.226102,IHDP 16
3.497777,0.089441,15.090263,IHDP 17
3.650291,0.342515,15.22423,IHDP 18
4.158551,0.1031,1.715028,IHDP 19
2.62605,0.263299,126.056057,IHDP 20
4.047627,0.207194,2.329402,IHDP 21
3.800921,0.542674,13.318344,IHDP 22
4.057528,0.095958,51.816228,IHDP 23
4.639481,0.0732,11.310423,IHDP 24
7.13922,1.225463,354.069373,IHDP 25
3.780237,0.040623,2.774267,IHDP 26
9.635893,1.241076,2182.174804,IHDP 27
4.061815,0.033771,12.92283,IHDP 28
4.410239,0.030872,13.682008,IHDP 29
4.722614,0.268051,9.863105,IHDP 30
3.924763,0.052639,0.566394,IHDP 31
4.189694,0.058971,13.536198,IHDP 32
-0.840019,4.07626,2506.286251,IHDP 33
4.606642,0.805554,30.515078,IHDP 34
4.495566,0.411432,62.077681,IHDP 35
0.904956,0.658308,183.910114,IHDP 36
4.41231,0.233328,3.869826,IHDP 37
7.337631,0.021736,98.073494,IHDP 38
3.510525,0.674873,32.192009,IHDP 39
4.349574,0.005246,1.307711,IHDP 40
3.865287,0.170148,0.582074,IHDP 41
4.413547,0.348091,3.232056,IHDP 42
3.971858,0.083585,11.128577,IHDP 43
2.860818,0.435628,35.82938,IHDP 44
4.454119,0.205645,22.307382,IHDP 45
5.273077,0.204706,42.078651,IHDP 46
3.817628,0.067087,3.401219,IHDP 47
4.375226,0.013197,21.506589,IHDP 48
3.960109,0.143094,3.96619,IHDP 49
4.468,0.12646,4.714695,IHDP 50
4.443984,0.395743,11.850099,IHDP 51
5.184143,0.41676,280.105977,IHDP 52
2.93429,1.026111,78.906424,IHDP 53
3.712252,0.135914,2.067952,IHDP 54
4.0445,0.088777,0.034092,IHDP 55
4.082733,0.126911,0.965489,IHDP 56
4.513344,0.094082,11.984091,IHDP 57
4.181243,0.202152,0.991022,IHDP 58
1.981204,0.61271,239.143499,IHDP 59
4.071497,0.145546,0.860291,IHDP 60
4.201033,0.347305,3.540331,IHDP 61
4.368132,0.290749,8.457115,IHDP 62
2.854048,0.331971,10.027825,IHDP 63
3.049914,0.451326,35.356881,IHDP 64
4.067646,0.344711,2.044333,IHDP 65
4.024227,0.033235,0.737262,IHDP 66
12.93584,2.706915,674.285688,IHDP 67
3.906576,0.165696,2.43786,IHDP 68
3.996942,0.074129,0.048046,IHDP 69
5.285123,0.011527,99.547946,IHDP 70
3.993969,0.080596,0.036349,IHDP 71
3.879233,0.036231,1.543412,IHDP 72
4.134216,0.05959,0.158726,IHDP 73
4.015646,0.062084,0.032044,IHDP 74
4.527299,0.580923,47.41884,IHDP 75
4.29294,0.100537,1.070763,IHDP 76
3.995405,0.095064,0.309064,IHDP 77
4.242205,0.180747,0.856554,IHDP 78
3.996348,0.011095,0.201704,IHDP 79
12.053617,2.637177,580.236227,IHDP 80
1.770824,0.175077,261.205246,IHDP 81
3.702904,0.205585,27.033246,IHDP 82
2.611181,0.933094,411.464786,IHDP 83
-2.500215,2.017617,726.248338,IHDP 84
3.711785,2.296708,526.117879,IHDP 85
4.898359,0.250386,7.406769,IHDP 86
3.987934,0.175045,0.06716,IHDP 87
3.532426,0.20413,12.586385,IHDP 88
3.678999,0.093066,5.884596,IHDP 89
3.927142,0.249531,0.411933,IHDP 90
3.147813,0.093275,17.868354,IHDP 91
6.444968,0.976362,414.991239,IHDP 92
4.269753,0.010904,1.969878,IHDP 93
4.248175,0.022713,5.2227,IHDP 94
4.26584,0.017977,8.022159,IHDP 95
4.074618,0.262585,8.87996,IHDP 96
7.039075,0.197293,222.275483,IHDP 97
