ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.702519,1.381245,IHDP 0
3.959626,0.832817,1.361798,IHDP 1
3.997861,0.333007,0.614741,IHDP 2
4.44431,0.740669,1.667264,IHDP 3
4.262547,0.075778,0.363189,IHDP 4
3.937132,0.657927,1.523818,IHDP 5
3.9585,0.627635,1.04205,IHDP 6
3.711442,0.215298,0.268948,IHDP 7
12.825093,0.591667,24.565073,IHDP 8
2.778521,0.22052,1.687562,IHDP 9
3.893408,0.146744,0.241952,IHDP 10
4.893555,0.304516,0.43157,IHDP 11
14.549109,0.027051,15.99655,IHDP 12
3.819642,0.844804,1.961073,IHDP 13
3.920643,0.231838,0.451868,IHDP 14
4.53679,0.643978,2.096364,IHDP 15
3.857548,0.024873,0.541042,IHDP 16
3.497777,0.7031,1.389932,IHDP 17
3.650291,0.399135,1.063825,IHDP 18
4.158551,0.938335,2.320177,IHDP 19
2.62605,0.081792,2.702943,IHDP 20
4.047627,0.724672,2.228554,IHDP 21
3.800921,0.096358,0.683545,IHDP 22
4.057528,0.020298,1.83851,IHDP 23
4.639481,0.163228,0.351839,IHDP 24
7.13922,0.6011,8.445438,IHDP 25
3.780237,0.33118,0.431903,IHDP 26
9.635893,1.481743,115.356818,IHDP 27
4.061815,0.066341,0.26517,IHDP 28
4.410239,0.610328,2.303602,IHDP 29
4.722614,0.194049,0.32627,IHDP 30
3.924763,0.986241,2.339731,IHDP 31
4.189694,0.044043,0.354975,IHDP 32
-0.840019,1.292897,122.344138,IHDP 33
4.606642,0.292745,0.72779,IHDP 34
4.495566,0.267657,1.84368,IHDP 35
0.904956,0.445419,9.316571,IHDP 36
4.41231,0.193098,0.190735,IHDP 37
7.337631,0.061678,1.755333,IHDP 38
3.510525,0.234056,2.16522,IHDP 39
4.349574,0.901084,2.01444,IHDP 40
3.865287,0.650834,1.327513,IHDP 41
4.413547,0.924804,2.02917,IHDP 42
3.971858,0.63692,1.340822,IHDP 43
2.860818,0.115645,1.21327,IHDP 44
4.454119,0.044244,0.296319,IHDP 45
