ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.010624,0.417339,IHDP 0
3.959626,0.053084,0.37255,IHDP 1
3.997861,0.003161,0.44242,IHDP 2
4.44431,0.150913,0.693422,IHDP 3
4.262547,0.002898,1.535595,IHDP 4
3.937132,0.078148,0.333433,IHDP 5
3.9585,0.184345,0.300443,IHDP 6
3.711442,0.091232,0.413612,IHDP 7
12.825093,0.382468,161.073607,IHDP 8
2.778521,1.46549,18.653017,IHDP 9
3.893408,0.089038,0.670635,IHDP 10
4.893555,0.23966,1.847662,IHDP 11
14.549109,2.451665,347.687079,IHDP 12
3.819642,0.094873,0.360171,IHDP 13
3.920643,0.08795,3.662842,IHDP 14
4.53679,0.182815,0.589613,IHDP 15
3.857548,0.116612,7.625499,IHDP 16
3.497777,0.294712,2.869007,IHDP 17
3.650291,0.374673,2.614195,IHDP 18
4.158551,0.058756,0.850673,IHDP 19
2.62605,1.252664,39.513459,IHDP 20
4.047627,0.035361,0.307809,IHDP 21
3.800921,0.282805,3.177092,IHDP 22
4.057528,0.304388,14.974731,IHDP 23
4.639481,0.008845,0.726943,IHDP 24
7.13922,1.168246,70.545754,IHDP 25
3.780237,0.084817,0.714131,IHDP 26
9.635893,5.245795,590.842446,IHDP 27
4.061815,0.034594,2.44095,IHDP 28
4.410239,0.001035,1.81199,IHDP 29
4.722614,0.348567,1.120713,IHDP 30
3.924763,0.005305,0.325001,IHDP 31
4.189694,0.007001,2.669908,IHDP 32
-0.840019,8.89744,877.365197,IHDP 33
4.606642,0.587826,11.124265,IHDP 34
4.495566,0.715351,6.003879,IHDP 35
0.904956,1.969447,42.512538,IHDP 36
4.41231,0.108874,1.340073,IHDP 37
7.337631,0.26088,11.407135,IHDP 38
3.510525,0.638079,11.602579,IHDP 39
4.349574,0.047241,0.53201,IHDP 40
3.865287,0.171651,0.299219,IHDP 41
4.413547,0.255001,1.026624,IHDP 42
3.971858,0.049675,1.089326,IHDP 43
2.860818,0.548947,7.983774,IHDP 44
4.454119,0.135754,1.896348,IHDP 45
5.273077,0.024927,4.464561,IHDP 46
3.817628,0.075852,0.710584,IHDP 47
4.375226,0.076012,3.008373,IHDP 48
3.960109,0.146105,0.829809,IHDP 49
4.468,0.277455,0.460401,IHDP 50
4.443984,0.443959,1.817318,IHDP 51
5.184143,0.528386,48.234299,IHDP 52
2.93429,1.739142,30.415936,IHDP 53
