ATE,Error_ATE,Error_PEHE,Problem
4.030549,0.173476,1.187311,IHDP 0
3.959626,0.091052,0.5484,IHDP 1
3.997861,0.386876,1.682432,IHDP 2
4.44431,0.399511,1.376122,IHDP 3
4.262547,0.105073,1.011916,IHDP 4
3.937132,0.288596,1.248914,IHDP 5
3.9585,0.164683,0.874669,IHDP 6
3.711442,0.38729,2.326171,IHDP 7
12.825093,0.701772,4.683428,IHDP 8
2.778521,0.300261,1.08125,IHDP 9
3.893408,0.143705,0.977006,IHDP 10
4.893555,0.25325,0.799284,IHDP 11
14.549109,0.245014,3.966153,IHDP 12
3.819642,0.734847,3.342765,IHDP 13
3.920643,0.012187,1.086084,IHDP 14
4.53679,0.229182,1.501422,IHDP 15
3.857548,0.344147,1.14126,IHDP 16
3.497777,0.677347,1.521482,IHDP 17
3.650291,0.113426,0.917496,IHDP 18
4.158551,0.367396,0.82248,IHDP 19
2.62605,0.092958,0.700789,IHDP 20
4.047627,0.291623,1.798369,IHDP 21
3.800921,0.113858,2.65495,IHDP 22
4.057528,0.040402,1.481053,IHDP 23
4.639481,0.216496,0.649135,IHDP 24
7.13922,0.217279,2.052684,IHDP 25
3.780237,0.020161,0.92786,IHDP 26
9.635893,1.658105,34.920518,IHDP 27
4.061815,0.055809,0.748314,IHDP 28
4.410239,0.064834,0.816724,IHDP 29
4.722614,0.179735,0.408922,IHDP 30
3.924763,0.022634,0.516941,IHDP 31
4.189694,0.178858,0.702638,IHDP 32
-0.840019,0.555521,51.974438,IHDP 33
4.606642,0.274714,0.733617,IHDP 34
4.495566,0.243314,1.250619,IHDP 35
0.904956,0.306079,1.981573,IHDP 36
4.41231,0.137729,0.863484,IHDP 37
7.337631,0.006599,0.923973,IHDP 38
3.510525,0.12757,1.637955,IHDP 39
4.349574,0.076241,0.407709,IHDP 40
3.865287,0.227691,2.015553,IHDP 41
4.413547,0.212386,0.861794,IHDP 42
3.971858,0.417324,0.760648,IHDP 43
2.860818,0.085593,0.917349,IHDP 44
4.454119,0.120284,0.676344,IHDP 45
5.273077,0.210906,0.685869,IHDP 46
