ATE,Error_ATE,Error_PEHE,Problem
0.724017,0.070619,0.008127,SyntheticData 0
0.723549,0.124087,0.018624,SyntheticData 1
0.72199,0.050246,0.005839,SyntheticData 2
0.722068,0.092308,0.011077,SyntheticData 3
0.722691,0.088531,0.010927,SyntheticData 4
0.722535,0.066542,0.007148,SyntheticData 5
0.722847,0.079534,0.009561,SyntheticData 6
0.724017,0.091046,0.012201,SyntheticData 7
0.724173,0.096262,0.012491,SyntheticData 8
0.722613,0.070837,0.008877,SyntheticData 9
0.721678,0.073926,0.008956,SyntheticData 10
0.721912,0.058555,0.005395,SyntheticData 11
0.721756,0.096894,0.012316,SyntheticData 12
0.723861,0.057928,0.005932,SyntheticData 13
0.724562,0.08726,0.009986,SyntheticData 14
0.721366,0.075394,0.009101,SyntheticData 15
0.724562,0.105508,0.014321,SyntheticData 16
0.7216,0.086872,0.010481,SyntheticData 17
0.722925,0.071114,0.008024,SyntheticData 18
0.723549,0.126951,0.017908,SyntheticData 19
0.722613,0.086401,0.009255,SyntheticData 20
0.72238,0.114325,0.016298,SyntheticData 21
0.72464,0.075992,0.007524,SyntheticData 22
0.723315,0.046093,0.003651,SyntheticData 23
0.719417,0.112289,0.01516,SyntheticData 24
0.723081,0.110478,0.014337,SyntheticData 25
0.723471,0.02986,0.003372,SyntheticData 26
0.721288,0.083533,0.008985,SyntheticData 27
0.720898,0.071505,0.007587,SyntheticData 28
0.723315,0.057091,0.005267,SyntheticData 29
0.723471,0.06897,0.006854,SyntheticData 30
0.722847,0.08741,0.009702,SyntheticData 31
0.722068,0.0616,0.006021,SyntheticData 32
0.722146,0.114423,0.016383,SyntheticData 33
0.724796,0.079627,0.008711,SyntheticData 34
0.723003,0.101327,0.012925,SyntheticData 35
0.722769,0.100191,0.012004,SyntheticData 36
0.722146,0.119489,0.01747,SyntheticData 37
0.724562,0.080357,0.008107,SyntheticData 38
0.721054,0.08882,0.010912,SyntheticData 39
0.7216,0.057626,0.006066,SyntheticData 40
0.723627,0.045105,0.004876,SyntheticData 41
0.722458,0.040324,0.00467,SyntheticData 42
0.721288,0.063304,0.008169,SyntheticData 43
0.721678,0.04106,0.004689,SyntheticData 44
0.724173,0.040522,0.004985,SyntheticData 45
0.721522,0.103245,0.013347,SyntheticData 46
0.722302,0.06157,0.006786,SyntheticData 47
0.723237,0.04539,0.004806,SyntheticData 48
0.721756,0.049598,0.004913,SyntheticData 49
0.724017,0.032749,0.004029,SyntheticData 50
0.72199,0.018903,0.003741,SyntheticData 51
0.721756,0.065799,0.007729,SyntheticData 52
0.723081,0.07039,0.00792,SyntheticData 53
0.721834,0.133919,0.022055,SyntheticData 54
0.724017,0.107307,0.013927,SyntheticData 55
0.723081,0.053193,0.005584,SyntheticData 56
0.72238,0.043149,0.005474,SyntheticData 57
0.723549,0.068163,0.00832,SyntheticData 58
0.723939,0.051612,0.006782,SyntheticData 59
0.72238,0.099273,0.012388,SyntheticData 60
0.720898,0.066421,0.007235,SyntheticData 61
0.721288,0.080493,0.008432,SyntheticData 62
0.721834,0.08865,0.011655,SyntheticData 63
0.722691,0.071752,0.00797,SyntheticData 64
0.723315,0.036798,0.003732,SyntheticData 65
0.722925,0.068609,0.007513,SyntheticData 66
0.722458,0.052845,0.005194,SyntheticData 67
0.725264,0.079796,0.009298,SyntheticData 68
0.721132,0.080498,0.008678,SyntheticData 69
0.723627,0.094491,0.011025,SyntheticData 70
0.723627,0.092334,0.010356,SyntheticData 71
0.724173,0.047457,0.004078,SyntheticData 72
0.723861,0.07034,0.008447,SyntheticData 73
0.723471,0.099755,0.014021,SyntheticData 74
0.724329,0.117981,0.015829,SyntheticData 75
0.722613,0.057604,0.005644,SyntheticData 76
0.723471,0.057163,0.005914,SyntheticData 77
0.725654,0.081402,0.009788,SyntheticData 78
0.723549,0.126211,0.018282,SyntheticData 79
0.72199,0.075173,0.008918,SyntheticData 80
0.723315,0.091891,0.01168,SyntheticData 81
0.724173,0.052063,0.004611,SyntheticData 82
0.722146,0.078838,0.009603,SyntheticData 83
0.723315,0.049089,0.006278,SyntheticData 84
0.723393,0.086348,0.010737,SyntheticData 85
0.723627,0.123808,0.018748,SyntheticData 86
0.719729,0.062003,0.005817,SyntheticData 87
0.720119,0.042751,0.00484,SyntheticData 88
0.7216,0.068666,0.007125,SyntheticData 89
0.722458,0.084914,0.010505,SyntheticData 90
0.720041,0.062651,0.006051,SyntheticData 91
0.723471,0.047543,0.004672,SyntheticData 92
0.724874,0.083907,0.009249,SyntheticData 93
0.723159,0.065784,0.006186,SyntheticData 94
0.721132,0.019505,0.003254,SyntheticData 95
0.7216,0.078975,0.008508,SyntheticData 96
0.721756,0.088478,0.010945,SyntheticData 97
0.722847,0.11485,0.01643,SyntheticData 98
0.722224,0.085783,0.010473,SyntheticData 99
