ATE,Error_ATE,Error_PEHE,Problem
0.724017,0.062881,0.006112,SyntheticData 0
0.723549,0.026267,0.002925,SyntheticData 1
0.72199,0.074281,0.007635,SyntheticData 2
0.722068,0.042899,0.004089,SyntheticData 3
0.722691,0.050696,0.004784,SyntheticData 4
0.722535,0.064624,0.006368,SyntheticData 5
0.722847,0.064593,0.006383,SyntheticData 6
0.724017,0.033112,0.003374,SyntheticData 7
0.724173,0.0412,0.003868,SyntheticData 8
0.722613,0.065921,0.00647,SyntheticData 9
0.721678,0.045672,0.004262,SyntheticData 10
0.721912,0.069348,0.006916,SyntheticData 11
0.721756,0.047165,0.004501,SyntheticData 12
0.723861,0.05732,0.005541,SyntheticData 13
0.724562,0.066464,0.006445,SyntheticData 14
0.721366,0.059445,0.00573,SyntheticData 15
0.724562,0.041738,0.003916,SyntheticData 16
0.7216,0.055698,0.005228,SyntheticData 17
0.722925,0.067718,0.006692,SyntheticData 18
0.723549,0.004501,0.002196,SyntheticData 19
0.722613,0.039996,0.003772,SyntheticData 20
0.72238,0.038623,0.003829,SyntheticData 21
0.72464,0.068836,0.00689,SyntheticData 22
0.723315,0.059832,0.005721,SyntheticData 23
0.719417,0.029515,0.003217,SyntheticData 24
0.723081,0.037646,0.003744,SyntheticData 25
0.723471,0.093875,0.010946,SyntheticData 26
0.721288,0.043005,0.004092,SyntheticData 27
0.720898,0.052571,0.005537,SyntheticData 28
0.723315,0.062276,0.005995,SyntheticData 29
0.723471,0.041546,0.003905,SyntheticData 30
0.722847,0.038788,0.003662,SyntheticData 31
0.722068,0.072235,0.007434,SyntheticData 32
0.722146,0.035331,0.003335,SyntheticData 33
0.724796,0.04622,0.00442,SyntheticData 34
0.723003,0.042215,0.003985,SyntheticData 35
0.722769,0.031138,0.003135,SyntheticData 36
0.722146,0.018479,0.002638,SyntheticData 37
0.724562,0.05392,0.005,SyntheticData 38
0.721054,0.043157,0.004053,SyntheticData 39
0.7216,0.064246,0.006274,SyntheticData 40
0.723627,0.075135,0.007763,SyntheticData 41
0.722458,0.071782,0.007385,SyntheticData 42
0.721288,0.074526,0.007803,SyntheticData 43
0.721678,0.077452,0.008172,SyntheticData 44
0.724173,0.074604,0.007759,SyntheticData 45
0.721522,0.020016,0.002593,SyntheticData 46
0.722302,0.05799,0.005407,SyntheticData 47
0.723237,0.065244,0.006361,SyntheticData 48
0.721756,0.055829,0.005288,SyntheticData 49
0.724017,0.077799,0.008126,SyntheticData 50
0.72199,0.08977,0.010158,SyntheticData 51
0.721756,0.058973,0.005679,SyntheticData 52
0.723081,0.055501,0.005336,SyntheticData 53
0.721834,0.018035,0.002604,SyntheticData 54
0.724017,0.030158,0.003293,SyntheticData 55
0.723081,0.072886,0.007423,SyntheticData 56
0.72238,0.089506,0.010197,SyntheticData 57
0.723549,0.063741,0.006205,SyntheticData 58
0.723939,0.065318,0.00639,SyntheticData 59
0.72238,0.036207,0.00353,SyntheticData 60
0.720898,0.055526,0.005306,SyntheticData 61
0.721288,0.050961,0.004913,SyntheticData 62
0.721834,0.044514,0.004188,SyntheticData 63
0.722691,0.057458,0.005431,SyntheticData 64
0.723315,0.083048,0.009008,SyntheticData 65
0.722925,0.054447,0.005315,SyntheticData 66
0.722458,0.056241,0.005262,SyntheticData 67
0.725264,0.049855,0.004583,SyntheticData 68
0.721132,0.05176,0.004867,SyntheticData 69
0.723627,0.036953,0.00355,SyntheticData 70
0.723627,0.056024,0.005296,SyntheticData 71
0.724173,0.069023,0.006897,SyntheticData 72
0.723861,0.07056,0.007165,SyntheticData 73
0.723471,0.042456,0.004052,SyntheticData 74
0.724329,0.003069,0.002335,SyntheticData 75
0.722613,0.042866,0.003969,SyntheticData 76
0.723471,0.058373,0.005639,SyntheticData 77
0.725654,0.047182,0.004379,SyntheticData 78
0.723549,0.006078,0.0023,SyntheticData 79
0.72199,0.067016,0.00659,SyntheticData 80
0.723315,0.040651,0.00373,SyntheticData 81
0.724173,0.051705,0.004875,SyntheticData 82
0.722146,0.052936,0.004981,SyntheticData 83
0.723315,0.065312,0.006419,SyntheticData 84
0.723393,0.058424,0.005467,SyntheticData 85
0.723627,0.034051,0.003394,SyntheticData 86
0.719729,0.05838,0.005554,SyntheticData 87
0.720119,0.086701,0.009583,SyntheticData 88
0.7216,0.061179,0.005809,SyntheticData 89
0.722458,0.051211,0.004732,SyntheticData 90
0.720041,0.061188,0.005865,SyntheticData 91
0.723471,0.070662,0.007022,SyntheticData 92
0.724874,0.041955,0.003863,SyntheticData 93
0.723159,0.057394,0.005407,SyntheticData 94
0.721132,0.098939,0.011856,SyntheticData 95
0.7216,0.041971,0.004069,SyntheticData 96
0.721756,0.056699,0.00552,SyntheticData 97
0.722847,0.010357,0.002327,SyntheticData 98
0.722224,0.036826,0.003551,SyntheticData 99
