ATE,Error_ATE,Error_PEHE,Problem
0.72121,0.044999,0.064851,SyntheticData 0
0.723003,0.030189,0.051874,SyntheticData 1
0.723081,0.022816,0.063069,SyntheticData 2
0.720976,0.031902,0.061287,SyntheticData 3
0.720586,0.059596,0.040206,SyntheticData 4
0.724718,0.061995,0.051602,SyntheticData 5
0.722458,0.059637,0.052552,SyntheticData 6
0.722535,0.052164,0.047312,SyntheticData 7
0.721366,0.081426,0.048285,SyntheticData 8
0.723549,0.024803,0.029184,SyntheticData 9
0.723627,0.049888,0.054092,SyntheticData 10
0.722691,0.048489,0.041411,SyntheticData 11
0.721054,0.067124,0.054569,SyntheticData 12
0.723003,0.071074,0.024885,SyntheticData 13
0.722691,0.030892,0.050346,SyntheticData 14
0.7216,0.057621,0.048098,SyntheticData 15
0.724173,0.037897,0.065788,SyntheticData 16
0.723705,0.046182,0.055228,SyntheticData 17
0.721678,0.070331,0.049221,SyntheticData 18
0.721834,0.067304,0.049904,SyntheticData 19
0.72121,0.016457,0.030959,SyntheticData 20
0.721522,0.060055,0.05282,SyntheticData 21
0.721678,0.062924,0.056365,SyntheticData 22
0.724952,0.038787,0.039097,SyntheticData 23
0.721366,0.031314,0.055711,SyntheticData 24
0.724796,0.043817,0.044432,SyntheticData 25
0.723471,0.054905,0.050647,SyntheticData 26
0.723783,0.049093,0.03485,SyntheticData 27
0.72238,0.067101,0.037865,SyntheticData 28
0.723393,0.061477,0.061211,SyntheticData 29
0.722224,0.058142,0.071743,SyntheticData 30
0.725342,0.055918,0.077372,SyntheticData 31
0.722068,0.059297,0.08207,SyntheticData 32
0.721132,0.042451,0.069568,SyntheticData 33
0.723315,0.033253,0.052399,SyntheticData 34
0.720898,0.057732,0.073295,SyntheticData 35
0.722535,0.061353,0.046751,SyntheticData 36
0.720898,0.056077,0.073691,SyntheticData 37
0.723237,0.075249,0.078857,SyntheticData 38
0.721132,0.043823,0.058335,SyntheticData 39
0.723393,0.061767,0.043785,SyntheticData 40
0.723549,0.060521,0.027732,SyntheticData 41
0.721756,0.052903,0.057762,SyntheticData 42
0.72464,0.058542,0.065052,SyntheticData 43
0.720041,0.017427,0.07445,SyntheticData 44
0.72238,0.062167,0.080115,SyntheticData 45
0.723081,0.042606,0.075093,SyntheticData 46
0.722068,0.012468,0.074228,SyntheticData 47
0.721834,0.063227,0.037068,SyntheticData 48
0.722613,0.051028,0.044538,SyntheticData 49
0.723939,0.079188,0.061624,SyntheticData 50
0.723783,0.020382,0.060559,SyntheticData 51
0.723315,0.046535,0.041529,SyntheticData 52
0.721444,0.049084,0.040496,SyntheticData 53
0.723159,0.049965,0.032819,SyntheticData 54
0.723237,0.057537,0.054139,SyntheticData 55
0.723705,0.062185,0.055244,SyntheticData 56
0.72238,0.059722,0.046083,SyntheticData 57
0.724095,0.055817,0.06871,SyntheticData 58
0.721912,0.024407,0.050278,SyntheticData 59
0.722458,0.082051,0.046001,SyntheticData 60
0.721444,0.049543,0.057018,SyntheticData 61
0.722068,0.037027,0.069567,SyntheticData 62
0.721288,0.037438,0.052487,SyntheticData 63
0.722224,0.044584,0.04181,SyntheticData 64
0.720976,0.071334,0.060806,SyntheticData 65
0.721366,0.054858,0.066672,SyntheticData 66
0.720742,0.066347,0.051285,SyntheticData 67
0.720898,0.051221,0.03989,SyntheticData 68
0.724407,0.055893,0.075828,SyntheticData 69
0.723549,0.031182,0.049562,SyntheticData 70
0.722458,0.024829,0.045324,SyntheticData 71
0.722224,0.024629,0.097578,SyntheticData 72
0.721834,0.029653,0.050072,SyntheticData 73
0.722535,0.057355,0.044335,SyntheticData 74
0.72238,0.058416,0.051939,SyntheticData 75
0.723393,0.045899,0.074631,SyntheticData 76
0.722302,0.043163,0.048833,SyntheticData 77
0.722691,0.064922,0.062555,SyntheticData 78
0.721366,0.050537,0.042478,SyntheticData 79
0.723783,0.066103,0.058312,SyntheticData 80
0.721678,0.06587,0.063286,SyntheticData 81
0.721834,0.065697,0.060126,SyntheticData 82
0.721054,0.054616,0.066286,SyntheticData 83
0.723861,0.051601,0.057178,SyntheticData 84
0.724407,0.040635,0.030766,SyntheticData 85
0.721366,0.058658,0.060386,SyntheticData 86
0.721756,0.068351,0.060113,SyntheticData 87
0.721756,0.082967,0.037722,SyntheticData 88
0.72199,0.046997,0.040463,SyntheticData 89
0.720898,0.046611,0.046481,SyntheticData 90
0.723003,0.056321,0.03186,SyntheticData 91
0.723549,0.091651,0.066525,SyntheticData 92
0.721444,0.043661,0.055433,SyntheticData 93
0.720976,0.025067,0.057564,SyntheticData 94
0.721912,0.067082,0.032933,SyntheticData 95
0.722613,0.077161,0.046731,SyntheticData 96
0.723549,0.041366,0.044902,SyntheticData 97
0.720664,0.05126,0.05069,SyntheticData 98
0.721912,0.050087,0.04408,SyntheticData 99
