ATE,Error_ATE,Error_PEHE,Problem
0.72121,0.036486,0.048044,SyntheticData 0
0.723003,0.047484,0.042071,SyntheticData 1
0.723081,0.030369,0.054568,SyntheticData 2
0.720976,0.039957,0.05442,SyntheticData 3
0.720586,0.066152,0.049713,SyntheticData 4
0.724718,0.054138,0.040987,SyntheticData 5
0.722458,0.052862,0.044341,SyntheticData 6
0.722535,0.073547,0.042723,SyntheticData 7
0.721366,0.065056,0.041349,SyntheticData 8
0.723549,0.043128,0.036528,SyntheticData 9
0.723627,0.048323,0.044337,SyntheticData 10
0.722691,0.053853,0.039742,SyntheticData 11
0.721054,0.052487,0.047002,SyntheticData 12
0.723003,0.039461,0.038802,SyntheticData 13
0.722691,0.042478,0.035348,SyntheticData 14
0.7216,0.050266,0.043779,SyntheticData 15
0.724173,0.058536,0.041315,SyntheticData 16
0.723705,0.059347,0.043653,SyntheticData 17
0.721678,0.039537,0.044923,SyntheticData 18
0.721834,0.068654,0.036487,SyntheticData 19
0.72121,0.042553,0.046403,SyntheticData 20
0.721522,0.064364,0.036763,SyntheticData 21
0.721678,0.063586,0.044129,SyntheticData 22
0.724952,0.040138,0.035569,SyntheticData 23
0.721366,0.033292,0.04114,SyntheticData 24
0.724796,0.049413,0.038851,SyntheticData 25
0.723471,0.051085,0.05053,SyntheticData 26
0.723783,0.044648,0.017991,SyntheticData 27
0.72238,0.065025,0.037929,SyntheticData 28
0.723393,0.058457,0.03156,SyntheticData 29
0.722224,0.066412,0.044495,SyntheticData 30
0.725342,0.068362,0.055849,SyntheticData 31
0.722068,0.030723,0.039473,SyntheticData 32
0.721132,0.033692,0.030313,SyntheticData 33
0.723315,0.038055,0.043661,SyntheticData 34
0.720898,0.04991,0.047582,SyntheticData 35
0.722535,0.053018,0.038478,SyntheticData 36
0.720898,0.054446,0.048772,SyntheticData 37
0.723237,0.046224,0.040823,SyntheticData 38
0.721132,0.024644,0.0509,SyntheticData 39
0.723393,0.058776,0.048656,SyntheticData 40
0.723549,0.067202,0.036699,SyntheticData 41
0.721756,0.035064,0.043381,SyntheticData 42
0.72464,0.041513,0.050505,SyntheticData 43
0.720041,0.037544,0.052616,SyntheticData 44
0.72238,0.051841,0.044564,SyntheticData 45
0.723081,0.046248,0.044383,SyntheticData 46
0.722068,0.041024,0.042812,SyntheticData 47
0.721834,0.051039,0.060959,SyntheticData 48
0.722613,0.059053,0.041578,SyntheticData 49
0.723939,0.059092,0.040591,SyntheticData 50
0.723783,0.026886,0.048366,SyntheticData 51
0.723315,0.070327,0.040768,SyntheticData 52
0.721444,0.037004,0.047191,SyntheticData 53
0.723159,0.044733,0.048286,SyntheticData 54
0.723237,0.066883,0.039525,SyntheticData 55
0.723705,0.060409,0.039998,SyntheticData 56
0.72238,0.060671,0.042385,SyntheticData 57
0.724095,0.046894,0.037838,SyntheticData 58
0.721912,0.04348,0.040154,SyntheticData 59
0.722458,0.073732,0.04967,SyntheticData 60
0.721444,0.054347,0.044444,SyntheticData 61
0.722068,0.032356,0.053799,SyntheticData 62
0.721288,0.019572,0.04132,SyntheticData 63
0.722224,0.043887,0.040383,SyntheticData 64
0.720976,0.070766,0.046247,SyntheticData 65
0.721366,0.040429,0.043181,SyntheticData 66
0.720742,0.061924,0.042102,SyntheticData 67
0.720898,0.046027,0.044022,SyntheticData 68
0.724407,0.046607,0.039168,SyntheticData 69
0.723549,0.035591,0.034545,SyntheticData 70
0.722458,0.027817,0.052898,SyntheticData 71
0.722224,0.020016,0.041543,SyntheticData 72
0.721834,0.033258,0.043538,SyntheticData 73
0.722535,0.040622,0.043719,SyntheticData 74
0.72238,0.059493,0.037846,SyntheticData 75
0.723393,0.06737,0.038082,SyntheticData 76
0.722302,0.048596,0.04692,SyntheticData 77
0.722691,0.063742,0.037515,SyntheticData 78
0.721366,0.053084,0.040835,SyntheticData 79
0.723783,0.051091,0.03642,SyntheticData 80
0.721678,0.056457,0.039756,SyntheticData 81
0.721834,0.044779,0.041093,SyntheticData 82
0.721054,0.057422,0.037765,SyntheticData 83
0.723861,0.051863,0.040537,SyntheticData 84
0.724407,0.045947,0.039397,SyntheticData 85
0.721366,0.058638,0.032151,SyntheticData 86
0.721756,0.061012,0.045523,SyntheticData 87
0.721756,0.080504,0.040303,SyntheticData 88
0.72199,0.042555,0.0463,SyntheticData 89
0.720898,0.074027,0.052804,SyntheticData 90
0.723003,0.046019,0.045714,SyntheticData 91
0.723549,0.081731,0.052009,SyntheticData 92
0.721444,0.027092,0.039335,SyntheticData 93
0.720976,0.030303,0.036166,SyntheticData 94
0.721912,0.05973,0.033859,SyntheticData 95
0.722613,0.0773,0.046058,SyntheticData 96
0.723549,0.043687,0.055151,SyntheticData 97
0.720664,0.035153,0.050449,SyntheticData 98
0.721912,0.047952,0.034628,SyntheticData 99
