ATE,Error_ATE,Error_PEHE,Problem
0.724017,0.030333,0.030747,SyntheticData 0
0.723549,0.023299,0.030085,SyntheticData 1
0.72199,0.0286,0.038014,SyntheticData 2
0.722068,0.022282,0.024555,SyntheticData 3
0.722691,0.007339,0.03286,SyntheticData 4
0.722535,0.037795,0.030315,SyntheticData 5
0.722847,0.039173,0.024809,SyntheticData 6
0.724017,0.003883,0.024614,SyntheticData 7
0.724173,0.022667,0.021276,SyntheticData 8
0.722613,0.044657,0.030942,SyntheticData 9
0.721678,0.008222,0.029624,SyntheticData 10
0.721912,0.047948,0.031921,SyntheticData 11
0.721756,0.004244,0.030917,SyntheticData 12
0.723861,0.029199,0.027334,SyntheticData 13
0.724562,0.007308,0.035824,SyntheticData 14
0.721366,0.026344,0.026715,SyntheticData 15
0.724562,0.012338,0.021601,SyntheticData 16
0.7216,9e-05,0.026027,SyntheticData 17
0.722925,0.016595,0.025661,SyntheticData 18
0.723549,0.023319,0.028882,SyntheticData 19
0.722613,0.021517,0.023123,SyntheticData 20
0.72238,0.00144,0.030563,SyntheticData 21
0.72464,0.01873,0.031285,SyntheticData 22
0.723315,0.041265,0.022115,SyntheticData 23
0.719417,0.006457,0.035687,SyntheticData 24
0.723081,0.005569,0.026515,SyntheticData 25
0.723471,0.067239,0.034487,SyntheticData 26
0.721288,0.018922,0.028344,SyntheticData 27
0.720898,0.015232,0.030252,SyntheticData 28
0.723315,0.044855,0.032741,SyntheticData 29
0.723471,0.012429,0.02948,SyntheticData 30
0.722847,0.007793,0.0335,SyntheticData 31
0.722068,0.030102,0.035491,SyntheticData 32
0.722146,0.007826,0.028177,SyntheticData 33
0.724796,0.018094,0.038562,SyntheticData 34
0.723003,0.012987,0.024827,SyntheticData 35
0.722769,0.006251,0.028762,SyntheticData 36
0.722146,0.010036,0.027956,SyntheticData 37
0.724562,0.044218,0.027024,SyntheticData 38
0.721054,0.030106,0.031331,SyntheticData 39
0.7216,0.03208,0.038154,SyntheticData 40
0.723627,0.044133,0.037137,SyntheticData 41
0.722458,0.045262,0.032114,SyntheticData 42
0.721288,0.043182,0.030549,SyntheticData 43
0.721678,0.039962,0.028273,SyntheticData 44
0.724173,0.034127,0.033979,SyntheticData 45
0.721522,0.008402,0.027224,SyntheticData 46
0.722302,0.038488,0.036819,SyntheticData 47
0.723237,0.047123,0.027622,SyntheticData 48
0.721756,0.046524,0.024601,SyntheticData 49
0.724017,0.062473,0.027427,SyntheticData 50
0.72199,0.06277,0.028547,SyntheticData 51
0.721756,0.048404,0.030483,SyntheticData 52
0.723081,0.026609,0.02605,SyntheticData 53
0.721834,0.033274,0.038337,SyntheticData 54
0.724017,0.019097,0.023929,SyntheticData 55
0.723081,0.055909,0.034374,SyntheticData 56
0.72238,0.0504,0.026702,SyntheticData 57
0.723549,0.020391,0.033558,SyntheticData 58
0.723939,0.038561,0.034943,SyntheticData 59
0.72238,0.01155,0.032141,SyntheticData 60
0.720898,0.017412,0.027453,SyntheticData 61
0.721288,0.027042,0.033138,SyntheticData 62
0.721834,0.031586,0.024947,SyntheticData 63
0.722691,0.014519,0.029996,SyntheticData 64
0.723315,0.051605,0.03667,SyntheticData 65
0.722925,0.021475,0.030545,SyntheticData 66
0.722458,0.011072,0.030599,SyntheticData 67
0.725264,0.000104,0.028757,SyntheticData 68
0.721132,0.029288,0.027771,SyntheticData 69
0.723627,0.008453,0.02701,SyntheticData 70
0.723627,0.018973,0.031908,SyntheticData 71
0.724173,0.030767,0.035459,SyntheticData 72
0.723861,0.029059,0.031628,SyntheticData 73
0.723471,0.000729,0.034163,SyntheticData 74
0.724329,0.031879,0.027296,SyntheticData 75
0.722613,0.022167,0.031131,SyntheticData 76
0.723471,0.051269,0.032251,SyntheticData 77
0.725654,0.025286,0.029434,SyntheticData 78
0.723549,0.010619,0.022118,SyntheticData 79
0.72199,0.02613,0.026515,SyntheticData 80
0.723315,2.5e-05,0.036774,SyntheticData 81
0.724173,0.020397,0.030638,SyntheticData 82
0.722146,0.015144,0.026173,SyntheticData 83
0.723315,0.036535,0.031008,SyntheticData 84
0.723393,0.023587,0.034307,SyntheticData 85
0.723627,0.008087,0.030597,SyntheticData 86
0.719729,0.025621,0.034258,SyntheticData 87
0.720119,0.060781,0.035086,SyntheticData 88
0.7216,0.03263,0.028421,SyntheticData 89
0.722458,0.026422,0.030358,SyntheticData 90
0.720041,0.016459,0.033005,SyntheticData 91
0.723471,0.055019,0.031025,SyntheticData 92
0.724874,0.005826,0.033765,SyntheticData 93
0.723159,0.042711,0.028505,SyntheticData 94
0.721132,0.072298,0.036479,SyntheticData 95
0.7216,0.01695,0.026398,SyntheticData 96
0.721756,0.014924,0.031816,SyntheticData 97
0.722847,0.005673,0.024323,SyntheticData 98
0.722224,0.002626,0.034067,SyntheticData 99
