ATE,Error_ATE,Error_PEHE,Problem
0.72121,0.041586,0.099957,SyntheticData 0
0.723003,0.067239,0.092639,SyntheticData 1
0.723081,0.053153,0.088767,SyntheticData 2
0.720976,0.04719,0.107899,SyntheticData 3
0.720586,0.051246,0.092376,SyntheticData 4
0.724718,0.061285,0.107592,SyntheticData 5
0.722458,0.038517,0.094481,SyntheticData 6
0.722535,0.038104,0.092348,SyntheticData 7
0.721366,0.070947,0.089864,SyntheticData 8
0.723549,0.04136,0.091494,SyntheticData 9
0.723627,0.039436,0.096139,SyntheticData 10
0.722691,0.053884,0.0974,SyntheticData 11
0.721054,0.044513,0.089461,SyntheticData 12
0.723003,0.062604,0.0993,SyntheticData 13
0.722691,0.04286,0.094105,SyntheticData 14
0.7216,0.048647,0.108519,SyntheticData 15
0.724173,0.056234,0.077321,SyntheticData 16
0.723705,0.035789,0.089675,SyntheticData 17
0.721678,0.032427,0.105117,SyntheticData 18
0.721834,0.049166,0.098844,SyntheticData 19
0.72121,0.036339,0.11171,SyntheticData 20
0.721522,0.064351,0.087435,SyntheticData 21
0.721678,0.059233,0.090191,SyntheticData 22
0.724952,0.02868,0.087911,SyntheticData 23
0.721366,0.031569,0.07778,SyntheticData 24
0.724796,0.045265,0.097773,SyntheticData 25
0.723471,0.065794,0.100746,SyntheticData 26
0.723783,0.056324,0.123795,SyntheticData 27
0.72238,0.072668,0.102709,SyntheticData 28
0.723393,0.034006,0.096259,SyntheticData 29
0.722224,0.084881,0.0944,SyntheticData 30
0.725342,0.054214,0.090618,SyntheticData 31
0.722068,0.023743,0.115059,SyntheticData 32
0.721132,0.044947,0.108667,SyntheticData 33
0.723315,0.010618,0.102196,SyntheticData 34
0.720898,0.04838,0.09842,SyntheticData 35
0.722535,0.053299,0.085226,SyntheticData 36
0.720898,0.043905,0.087421,SyntheticData 37
0.723237,0.020391,0.079493,SyntheticData 38
0.721132,0.043498,0.088782,SyntheticData 39
0.723393,0.06008,0.093052,SyntheticData 40
0.723549,0.051159,0.084802,SyntheticData 41
0.721756,0.048373,0.098795,SyntheticData 42
0.72464,0.034723,0.101542,SyntheticData 43
0.720041,0.022957,0.115215,SyntheticData 44
0.72238,0.037761,0.106583,SyntheticData 45
0.723081,0.047164,0.103933,SyntheticData 46
0.722068,0.023625,0.111169,SyntheticData 47
0.721834,0.037844,0.112074,SyntheticData 48
0.722613,0.045469,0.12503,SyntheticData 49
0.723939,0.04867,0.083894,SyntheticData 50
0.723783,0.05926,0.084308,SyntheticData 51
0.723315,0.06767,0.079396,SyntheticData 52
0.721444,0.027565,0.103432,SyntheticData 53
0.723159,0.05494,0.090583,SyntheticData 54
0.723237,0.080445,0.104357,SyntheticData 55
0.723705,0.04859,0.080845,SyntheticData 56
0.72238,0.064377,0.093767,SyntheticData 57
0.724095,0.029241,0.079353,SyntheticData 58
0.721912,0.049334,0.090949,SyntheticData 59
0.722458,0.062975,0.106599,SyntheticData 60
0.721444,0.046493,0.096638,SyntheticData 61
0.722068,0.017989,0.09005,SyntheticData 62
0.721288,0.018227,0.120723,SyntheticData 63
0.722224,0.057865,0.099987,SyntheticData 64
0.720976,0.048803,0.096775,SyntheticData 65
0.721366,0.050638,0.081944,SyntheticData 66
0.720742,0.071924,0.092059,SyntheticData 67
0.720898,0.061024,0.104796,SyntheticData 68
0.724407,0.038495,0.10172,SyntheticData 69
0.723549,0.033399,0.080063,SyntheticData 70
0.722458,0.04693,0.086794,SyntheticData 71
0.722224,0.028992,0.080216,SyntheticData 72
0.721834,0.033414,0.092632,SyntheticData 73
0.722535,0.057846,0.101875,SyntheticData 74
0.72238,0.038851,0.098669,SyntheticData 75
0.723393,0.09162,0.105342,SyntheticData 76
0.722302,0.042482,0.079001,SyntheticData 77
0.722691,0.038482,0.072818,SyntheticData 78
0.721366,0.07736,0.103238,SyntheticData 79
0.723783,0.058387,0.089503,SyntheticData 80
0.721678,0.05814,0.091001,SyntheticData 81
0.721834,0.050213,0.093719,SyntheticData 82
0.721054,0.064467,0.101728,SyntheticData 83
0.723861,0.036946,0.090391,SyntheticData 84
0.724407,0.032527,0.103079,SyntheticData 85
0.721366,0.051027,0.088122,SyntheticData 86
0.721756,0.0531,0.101984,SyntheticData 87
0.721756,0.070894,0.100861,SyntheticData 88
0.72199,0.058063,0.08236,SyntheticData 89
0.720898,0.051903,0.107611,SyntheticData 90
0.723003,0.031585,0.103497,SyntheticData 91
0.723549,0.056943,0.103896,SyntheticData 92
0.721444,0.029785,0.11113,SyntheticData 93
0.720976,0.016188,0.108383,SyntheticData 94
0.721912,0.039024,0.102492,SyntheticData 95
0.722613,0.094851,0.094898,SyntheticData 96
0.723549,0.034666,0.107503,SyntheticData 97
0.720664,0.049625,0.098205,SyntheticData 98
0.721912,0.02651,0.097967,SyntheticData 99
